<key>,<username>,<orgid>,<envid>,<envname>,<targetid>,<targetname>,<domainname>,<urlprotocol>,<urlappendix>,<externalip>,<baseurl>,<appname>,<appid>,<runtimeversion>,<nextruntimeversion>,<clusterprovider>,<anypointhost>,<rtftype>,<javaversion>
cuj-stgx-rtfctl-aks-java8,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,f78b68f4-686a-43dd-abbb-7f8773b5e499,cuj-stgx-rtfctl-aks,cuj-stgx-rtfctl-aks.com,http,(/|$)(.*),172.212.122.71,https://stgx.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java8,4.6.2:5-java8,aks,stgx,rtfctl,java8
cuj-stgx-rtfctl-aks-java17,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,f78b68f4-686a-43dd-abbb-7f8773b5e499,cuj-stgx-rtfctl-aks,cuj-stgx-rtfctl-aks.com,http,(/|$)(.*),172.212.122.71,https://stgx.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java17,4.6.2:5-java17,aks,stgx,rtfctl,java17
cuj-stgx-helm-aks-java8,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,f72ce532-19ca-4205-a738-4e1eba098761,cuj-stgx-helm-aks,cuj-stgx-helm-aks.com,http,(/|$)(.*),172.212.122.71,https://stgx.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java8,4.6.2:5-java8,aks,stgx,helm,java8
cuj-stgx-helm-aks-java17,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,f72ce532-19ca-4205-a738-4e1eba098761,cuj-stgx-helm-aks,cuj-stgx-helm-aks.com,http,(/|$)(.*),172.212.122.71,https://stgx.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java17,4.6.2:5-java17,aks,stgx,helm,java17
cuj-prod-helm-aks-java8,runtime-fabric-automation,dab93205-825e-40a2-9729-171cc733c064,db202c77-2699-406d-9c69-888599b10cc4,sandbox,e185651b-863c-40c1-adba-635a1debcbf6,cuj-prod-helm-aks,cuj-prod-helm-aks.com,http,(/|$)(.*),172.212.122.71,https://anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java8,4.6.2:5-java8,aks,prod,helm,java8
cuj-prod-helm-aks-java17,runtime-fabric-automation,dab93205-825e-40a2-9729-171cc733c064,db202c77-2699-406d-9c69-888599b10cc4,sandbox,e185651b-863c-40c1-adba-635a1debcbf6,cuj-prod-helm-aks,cuj-prod-helm-aks.com,http,(/|$)(.*),172.212.122.71,https://anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java17,4.6.2:5-java17,aks,prod,helm,java17
cuj-eu1-helm-aks-java8,runtime-fabric-automation,ffc8af83-01dc-471c-a753-d1dec578bb5e,8b04e5f4-b306-48d0-ae41-c050784fa331,sandbox,031090ad-3d5c-44f8-8923-d731275d8cf2,cuj-eu1-helm-aks,cuj-eu1-helm-aks.com,http,(/|$)(.*),172.212.122.71,https://eu1.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java8,4.6.2:5-java8,aks,eu1,helm,java8
cuj-eu1-helm-aks-java17,runtime-fabric-automation,ffc8af83-01dc-471c-a753-d1dec578bb5e,8b04e5f4-b306-48d0-ae41-c050784fa331,sandbox,031090ad-3d5c-44f8-8923-d731275d8cf2,cuj-eu1-helm-aks,cuj-eu1-helm-aks.com,http,(/|$)(.*),172.212.122.71,https://eu1.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java17,4.6.2:5-java17,aks,eu1,helm,java17
cuj-stgx-rtfctl-eksa-java8,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,dedb146c-c978-4730-afcf-4330b1b73246,cuj-stgx-rtfctl-eksa,cuj-stgx-rtfctl-eksa.com,http,(/|$)(.*),3.89.75.81:31313,https://stgx.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java8,4.6.2:5-java8,eksa,stgx,rtfctl,java8
cuj-stgx-rtfctl-eksa-java17,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,dedb146c-c978-4730-afcf-4330b1b73246,cuj-stgx-rtfctl-eksa,cuj-stgx-rtfctl-eksa.com,http,(/|$)(.*),3.89.75.81:31313,https://stgx.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java17,4.6.2:5-java17,eksa,stgx,rtfctl,java17
cuj-stgx-helm-eksa-java8,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,71ff4164-7396-4fe0-b73a-261d5628cde5,cuj-stgx-helm-eksa,cuj-stgx-helm-eksa.com,http,(/|$)(.*),3.89.75.81:31313,https://stgx.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java8,4.6.2:5-java8,eksa,stgx,helm,java8
cuj-stgx-helm-eksa-java17,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,71ff4164-7396-4fe0-b73a-261d5628cde5,cuj-stgx-helm-eksa,cuj-stgx-helm-eksa.com,http,(/|$)(.*),3.89.75.81:31313,https://stgx.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java17,4.6.2:5-java17,eksa,stgx,helm,java17
cuj-prod-helm-eksa-java8,runtime-fabric-automation,dab93205-825e-40a2-9729-171cc733c064,db202c77-2699-406d-9c69-888599b10cc4,sandbox,1db7688d-3ae8-4caf-a88e-abca0d1a041b,cuj-prod-helm-eksa,cuj-prod-helm-eksa.com,http,(/|$)(.*),3.89.75.81:31313,https://anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java8,4.6.2:5-java8,eksa,prod,helm,java8
cuj-prod-helm-eksa-java17,runtime-fabric-automation,dab93205-825e-40a2-9729-171cc733c064,db202c77-2699-406d-9c69-888599b10cc4,sandbox,1db7688d-3ae8-4caf-a88e-abca0d1a041b,cuj-prod-helm-eksa,cuj-prod-helm-eksa.com,http,(/|$)(.*),3.89.75.81:31313,https://anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java17,4.6.2:5-java17,eksa,prod,helm,java17
cuj-eu1-helm-eksa-java8,runtime-fabric-automation,ffc8af83-01dc-471c-a753-d1dec578bb5e,8b04e5f4-b306-48d0-ae41-c050784fa331,sandbox,4e52d647-d249-4464-8b33-1b53925a4651,cuj-eu1-helm-eksa,cuj-eu1-helm-eksa.com,http,(/|$)(.*),3.89.75.81:31313,https://eu1.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java8,4.6.2:5-java8,eksa,eu1,helm,java8
cuj-eu1-helm-eksa-java17,runtime-fabric-automation,ffc8af83-01dc-471c-a753-d1dec578bb5e,8b04e5f4-b306-48d0-ae41-c050784fa331,sandbox,4e52d647-d249-4464-8b33-1b53925a4651,cuj-eu1-helm-eksa,cuj-eu1-helm-eksa.com,http,(/|$)(.*),3.89.75.81:31313,https://eu1.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java17,4.6.2:5-java17,eksa,eu1,helm,java17
